[288095113, 290139828, 330002093, 332456638, 335197988, 364899898, 367095148, 367668584, 370641792, 371711394, 372152372, 372367339, 371724663, 371780628, 372025344, 371895453, 371260810, 371425190, 371479501, 371445070, 371260945, 371844620, 371129625, 371639697, 371268119, 371060134, 370656616, 370830305, 370249880, 370738784, 369915112, 370334111, 370207404, 370591028, 370744996, 370656329, 370580514, 370404315, 370523308, 370467104, 370332638, 370171487, 370177885, 370138175, 369369412, 369742558, 369861261, 369858883, 369774777, 369737076, 369757064, 369679526, 368956101, 369277819, 369402123, 369346719, 368887633, 369056818, 368958717, 368899034, 368764354, 368710175, 368233694, 368404498, 368306997, 368218093, 368141877, 368053977, 367931537, 367069645, 367249681, 367240183, 367189507, 367020884, 366838775, 366700312, 360484527, 363953084, 364936027, 365380995, 366178610, 366277586, 366053266, 365899700, 365787941, 365701971, 365342573, 364013503, 364428397, 364457174, 364347353, 364011916, 363706738, 363199200, 362978658, 363029565, 362875995, 360817960, 361350051, 362099882, 351511181]
# Base Pair	Mean Quality Score
0	31.09404018268625
1	31.314725808728582
2	35.6170510261747
3	35.88196951113425
4	36.177842794673104
5	39.38356320216412
6	39.62049603660287
7	39.682386853980944
8	40.003284518855544
9	40.11872642004282
10	40.16632107553314
11	40.18952241507114
12	40.12015854020233
13	40.126198829954916
14	40.152610972313425
15	40.13859186615326
16	40.07009499115192
17	40.087836487257164
18	40.09369826116501
19	40.08998213114676
20	40.07010956167129
21	40.13310547199632
22	40.055936223865345
23	40.11098817909953
24	40.07088384986364
25	40.04843607600156
26	40.00488446981226
27	40.023630684175465
28	39.96098554561306
29	40.013752843409875
30	39.92485411132567
31	39.97007657833262
32	39.95640112057008
33	39.99780557185295
34	40.014423303160484
35	40.004853493967374
36	39.99667079821838
37	39.97765368012465
38	39.990496567617356
39	39.984430482648996
40	39.96991759777682
41	39.95252460690897
42	39.95321514159739
43	39.94892925030685
44	39.86595683413482
45	39.90623039725496
46	39.91904198511346
47	39.91878532811299
48	39.909707786615066
49	39.90563872623872
50	39.907796026543814
51	39.89942736779574
52	39.82134827167737
53	39.85607122242556
54	39.86948732494331
55	39.863507583793435
56	39.81395853597148
57	39.83221863463656
58	39.82163061596385
59	39.81518904331481
60	39.80065306147119
61	39.79480553429339
62	39.743379048068036
63	39.7618138850358
64	39.751290624226954
65	39.74169523567761
66	39.7334692600896
67	39.723982233032466
68	39.71076731161182
69	39.61774350359902
70	39.63717474823222
71	39.636149631247136
72	39.63068018206457
73	39.61248073993199
74	39.59282575687912
75	39.57788147670379
76	38.90701321189939
77	39.28137378195854
78	39.38746259693713
79	39.43548789222219
80	39.521574298208236
81	39.53225675543243
82	39.50804594872645
83	39.49147160518771
84	39.47940948167374
85	39.47013075907873
86	39.43134101447943
87	39.2878947909206
88	39.3326742062089
89	39.335780101289934
90	39.323927145676265
91	39.28772350637066
92	39.254785714069854
93	39.20000725288075
94	39.17620420485762
95	39.18169858581777
96	39.16512381055993
97	38.94300055993966
98	39.000429020848145
99	39.08135811055549
100	37.93852201400411
