[280842378, 287212833, 316600268, 321812838, 328503220, 357032440, 360701183, 360543387, 362452869, 360705145, 361800713, 362460128, 361684650, 361840529, 361135252, 359789170, 359781188, 360894393, 360033918, 360632075, 359686675, 360006147, 360600820, 360767449, 360547698, 360880744, 360733838, 360818279, 360544753, 360512138, 359637331, 356993310, 356918404, 355507294, 355047354, 354452446, 354111245, 354286654, 353984626, 356260486, 357605586, 358590852, 358089037, 359215425, 359075661, 358764169, 358971431, 358490502, 358327083, 357945369, 358636548, 358846142, 358773508, 356861870, 357114293, 357891057, 358036727, 357371845, 357043045, 356451983, 356288079, 356707221, 356836869, 356059110, 356404505, 355684629, 356299699, 355378746, 354993703, 355456472, 355448261, 354842607, 354415927, 354379143, 354391981, 353330974, 344505530, 348249748, 352121340, 353116115, 354312659, 354378922, 354679623, 353879588, 353003298, 353052002, 352455671, 352621028, 352390730, 351759639, 351453936, 350599618, 350374141, 350061172, 348321190, 348572949, 348584155, 348000126, 345684101, 346491262, 327880969]
# Base Pair	Mean Quality Score
0	30.311254139646447
1	30.998815902459114
2	34.17059509454864
3	34.7331865920138
4	35.455278003351005
5	38.534430245203495
6	38.93039684482419
7	38.91336595834515
8	39.11945591737933
9	38.93082446258528
10	39.04906886826135
11	39.120239379602396
12	39.03654221500388
13	39.053366200107845
14	38.97724581351203
15	38.83196348865291
16	38.83110199320388
17	38.95124995628844
18	38.85837908476416
19	38.9229380340635
20	38.82090122655711
21	38.85538176703488
22	38.91956468900467
23	38.937548919169664
24	38.913831243597066
25	38.949776822815146
26	38.933921291565376
27	38.94303498953729
28	38.91351339041523
29	38.909993260864965
30	38.815575539832345
31	38.53020695318136
32	38.52212236559613
33	38.36982158345065
34	38.320180363602454
35	38.255972078135976
36	38.21914633161811
37	38.238078185191085
38	38.2054803716756
39	38.45111342512545
40	38.596289762947364
41	38.7026292987889
42	38.648468519691356
43	38.770039320974945
44	38.75495462416479
45	38.72133536327651
46	38.743705103912625
47	38.69179854605644
48	38.67416077046316
49	38.632962465046944
50	38.70756125770133
51	38.73018269056836
52	38.72234331942766
53	38.51602066380264
54	38.54326462092258
55	38.62710058320932
56	38.64282271325952
57	38.571062149848835
58	38.53557484044742
59	38.47178165288835
60	38.45409153135511
61	38.49932943231961
62	38.513322311544904
63	38.4293789591339
64	38.46665736312023
65	38.38896130976665
66	38.455345675318746
67	38.355947426975796
68	38.31438982334487
69	38.364336376521216
70	38.36345016515414
71	38.29808206634573
72	38.25203059075145
73	38.24806050197706
74	38.249446104404356
75	38.13493185961704
76	37.182403691025556
77	37.58651629027238
78	38.004376336440416
79	38.11174217649454
80	38.24088489894103
81	38.2480366494972
82	38.28049124020375
83	38.194143644166765
84	38.09956586328061
85	38.10482247495058
86	38.04046060541695
87	38.058307548910534
88	38.033451538020856
89	37.96533802957362
90	37.932343574141925
91	37.84013722623073
92	37.81580154477726
93	37.78202287161408
94	37.59422700912352
95	37.6213993008741
96	37.62260876191167
97	37.55957464444695
98	37.309606591659794
99	37.396723295260024
100	35.38811859409814
